HISTOGRAM GEMPABMI
Tanggal,Jumlah
01-Jun-23,4
02-Jun-23,4
03-Jun-23,2
04-Jun-23,7
05-Jun-23,6
06-Jun-23,4
07-Jun-23,9
08-Jun-23,6
09-Jun-23,10
10-Jun-23,5
11-Jun-23,3
12-Jun-23,4
13-Jun-23,4
14-Jun-23,6
15-Jun-23,2
16-Jun-23,4
17-Jun-23,6
18-Jun-23,2
19-Jun-23,8
20-Jun-23,4
21-Jun-23,1
22-Jun-23,5
23-Jun-23,6
24-Jun-23,3
25-Jun-23,3
26-Jun-23,2
27-Jun-23,1
28-Jun-23,5
29-Jun-23,5
30-Jun-23,2
TOTAL,133,
TOTAL DIRASAKAN,2,

BERDASARKAN MAGNITUDO
M < 3,17, 12.8%,
3 < M < 5,115, 86.5%,
M > 5,1, 0.8%,

BERDASARKAN KEDALAMAN
< 60 Km,93, 69.9%,
60 - 300 Km,40, 30.1%,
> 300 Km,0, 0.0%,

BERDASARKAN WILAYAH
LAUT MALUKU,73
HALMAHERA BAG. UTARA,13
HALMAHERA BAG. TIMUR,6
HALMAHERA BAG. BARAT,8
HALMAHERA BAG. SELATAN,16
KEP. SULA & TALIABU,1
SULAWESI,6

Event ID,Origin Date,Origin Time,Latitude,Longitude,Depth,Magnitude,Remark,Information
TNT-bmkg2023lfzw,2023-06-09,19:38:09,2.09,127.26,30.0,3.6,91 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023lgbg,2023-06-09,20:20:44,-0.05,126.18,30.0,3.1,161 km BaratDaya TERNATE-MALUT,-
AAI-bmkg2023lgfj,2023-06-09,22:25:03,-2.62,129.3,14.0,4.6,293 km BaratDaya SORONG-PAPUABARAT,-
TNT-bmkg2023lggs,2023-06-09,23:06:25,-0.82,127.54,3.0,3.0,20 km Tenggara LABUHA-MALUT,-
AAI-bmkg2023lhgs,2023-06-10,12:14:12,-2.55,129.29,9.0,4.0,288 km BaratDaya SORONG-PAPUABARAT,-
GTO-bmkg2023lhhy,2023-06-10,12:51:01,0.51,126.61,34.0,3.1,89 km BaratDaya TERNATE-MALUT,-
TNT-bmkg2023lhlm,2023-06-10,14:39:15,1.22,126.47,10.0,3.3,111 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023lhvf,2023-06-10,19:34:08,1.23,126.42,14.0,2.9,117 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023libv,2023-06-10,22:54:09,1.32,124.16,10.0,2.9,50 km BaratLaut AMURANG-SULUT,-
TNT-bmkg2023ligt,2023-06-11,1:23:58,0.96,126.44,6.0,3.6,105 km BaratLaut TERNATE-MALUT,-
TNT-bmkg2023ljbi,2023-06-11,11:46:50,2.26,126.63,44.0,3.4,151 km Tenggara ONDONGSIAU-SULUT,-
GTO-bmkg2023ljrk,2023-06-11,19:54:29,0.01,125.53,10.0,3.8,132 km Tenggara TUTUYAN-SULUT,-
TNT-bmkg2023lkmo,2023-06-12,6:36:20,1.72,126.41,18.0,3.5,138 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023llat,2023-06-12,13:46:37,1.78,126.54,91.0,3.5,130 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023llfi,2023-06-12,16:05:09,2.22,126.85,31.0,4.6,138 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023lllf,2023-06-12,19:03:30,1.58,127.12,99.0,3.1,69 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023lmgo,2023-06-13,5:50:53,3.26,126.34,10.0,3.6,91 km BaratDaya MELONGUANE-SULUT,-
TNT-bmkg2023lmou,2023-06-13,10:00:00,1.19,126.15,4.0,3.0,111 km Tenggara BITUNG-SULUT,-
MNI-bmkg2023lmtz,2023-06-13,12:37:06,4.34,126.57,43.0,3.7,39 km BaratLaut MELONGUANE-SULUT,-
MNI-bmkg2023lnay,2023-06-13,16:08:07,2.6,125.89,121.0,3.1,61 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023loow,2023-06-14,12:18:18,0.31,125.75,13.0,3.2,134 km Tenggara RATAHAN-SULUT,-
MNI-bmkg2023lotd,2023-06-14,14:27:48,1.7,125.88,40.0,4.5,82 km TimurLaut BITUNG-SULUT,-
TNT-bmkg2023loya,2023-06-14,16:56:05,3.83,126.73,34.0,3.5,20 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023loys,2023-06-14,17:16:42,1.68,125.87,26.0,3.0,81 km TimurLaut BITUNG-SULUT,-
TNT-bmkg2023lozd,2023-06-14,17:29:41,1.15,125.96,9.0,2.8,92 km Tenggara BITUNG-SULUT,-
MNI-bmkg2023lpak,2023-06-14,18:08:50,3.66,126.79,26.0,4.3,40 km Tenggara MELONGUANE-SULUT,-
GTO-bmkg2023lpxi,2023-06-15,5:42:52,0.25,125.98,23.0,3.8,158 km Tenggara RATAHAN-SULUT,-
TNT-bmkg2023lqzu,2023-06-15,20:05:29,3.32,127.09,10.0,3.4,89 km Tenggara MELONGUANE-SULUT,-
GTO-bmkg2023lrpo,2023-06-16,4:03:41,0.04,124.74,2.0,3.3,82 km Tenggara TUTUYAN-SULUT,-
TNT-bmkg2023lsee,2023-06-16,11:26:26,1.92,127.31,97.0,3.4,79 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023lsmd,2023-06-16,15:28:17,1.5,124.82,211.0,3.6,4 km BaratLaut MANADO-SULUT,-
MNI-bmkg2023lswv,2023-06-16,20:52:21,3.29,127.88,10.0,4.4,146 km BaratLaut DARUBA-MALUT,-
TNT-bmkg2023ltsm,2023-06-17,7:48:27,1.0,126.87,50.0,2.9,61 km BaratLaut TERNATE-MALUT,-
MNI-bmkg2023lugm,2023-06-17,14:53:13,2.9,127.31,65.0,3.1,141 km Tenggara MELONGUANE-SULUT,-
MNI-bmkg2023luhp,2023-06-17,15:26:43,2.48,127.0,12.0,3.2,138 km BaratLaut TOBELO-MALUT,-
TNT-bmkg2023lujp,2023-06-17,16:27:54,3.12,126.92,10.0,3.3,102 km Tenggara MELONGUANE-SULUT,-
TNT-bmkg2023luoo,2023-06-17,18:58:30,1.59,127.29,134.0,3.1,62 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023luwx,2023-06-17,23:11:30,2.66,126.19,26.0,4.6,92 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023lvax,2023-06-18,1:12:56,2.21,125.72,74.0,3.8,71 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023lvhk,2023-06-18,4:29:35,1.89,128.25,101.0,4.5,18 km BaratDaya DARUBA-MALUT,-
MNI-bmkg2023lwxq,2023-06-19,1:49:56,-0.14,125.27,10.0,4.9,125 km Tenggara TUTUYAN-SULUT,-
TNT-bmkg2023lxjy,2023-06-19,8:03:14,-0.24,125.19,0.0,4.4,129 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023lxjy,2023-06-19,8:03:16,-0.16,125.25,10.0,4.8,125 km Tenggara TUTUYAN-SULUT,-
MNI-bmkg2023lxmg,2023-06-19,9:12:06,1.9,127.27,100.0,3.6,82 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023lxyy,2023-06-19,15:37:01,2.5,128.38,206.0,3.8,51 km TimurLaut DARUBA-MALUT,-
PGN-bmg2023lykd,2023-06-19,21:16:29,2.16,128.22,79.0,4.9,15 km BaratLaut DARUBA-MALUT,dirasakan di Morotai dan Tobelo III MMI
MNI-bmkg2023lymc,2023-06-19,22:16:31,2.3,128.22,74.0,3.6,29 km BaratLaut DARUBA-MALUT,-
TNT-bmkg2023lyog,2023-06-19,23:21:23,-0.22,124.63,5.0,3.8,93 km Tenggara MOLIBAGU-SULUT,-
TNT-bmkg2023lypq,2023-06-20,0:03:56,0.47,129.32,14.0,4.1,117 km Tenggara MABA-MALUT,-
AAI-bmkg2023lzbv,2023-06-20,6:13:18,-1.11,126.89,10.0,4.0,85 km BaratDaya LABUHA-MALUT,-
TNT-bmkg2023lztq,2023-06-20,15:13:11,1.35,128.65,10.0,3.0,84 km Tenggara TOBELO-MALUT,-
AAI-bmkg2023lzvb,2023-06-20,15:55:39,-0.9,127.52,8.0,2.9,28 km Tenggara LABUHA-MALUT,-
MNI-bmkg2023mblg,2023-06-21,13:15:20,1.92,127.6,154.0,3.3,49 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023mcja,2023-06-22,1:15:43,1.06,125.67,22.0,3.3,69 km Tenggara BITUNG-SULUT,-
AAI-bmkg2023mcvk,2023-06-22,7:31:11,-0.92,124.61,10.0,4.5,117 km TimurLaut BOBONG-MALUT,-
MNI-bmkg2023mcwm,2023-06-22,8:03:40,2.04,126.03,83.0,4.5,108 km Tenggara ONDONGSIAU-SULUT,-
MNI-bmkg2023mdwi,2023-06-22,21:06:32,1.37,126.56,29.0,3.3,107 km BaratLaut JAILOLO-MALUT,-
MNI-bmkg2023meby,2023-06-22,23:57:30,1.57,126.35,69.0,3.2,130 km TimurLaut BITUNG-SULUT,-
TNT-bmkg2023meqf,2023-06-23,7:10:23,0.83,126.6,210.0,3.6,86 km Barat TERNATE-MALUT,-
TNT-bmkg2023mfbo,2023-06-23,12:53:49,1.44,128.28,58.0,4.1,45 km Tenggara TOBELO-MALUT,-
AAI-bmkg2023mfhq,2023-06-23,15:57:38,-0.79,127.76,31.0,2.3,33 km Tenggara LABUHA-MALUT,-
TNT-bmkg2023mfia,2023-06-23,16:09:27,3.5,125.93,80.0,3.3,49 km Tenggara TAHUNA-SULUT,-
TNT-bmkg2023mfie,2023-06-23,16:14:06,0.9,126.1,8.0,2.8,119 km Tenggara BITUNG-SULUT,-
TNT-bmkg2023mfoc,2023-06-23,19:14:09,2.75,127.22,8.0,3.2,142 km BaratLaut TOBELO-MALUT,-
MNI-bmkg2023mglm,2023-06-24,7:03:21,3.05,126.31,29.0,3.3,109 km Tenggara TAHUNA-SULUT,-
MNI-bmkg2023mhbt,2023-06-24,15:15:33,0.42,126.52,36.0,2.9,102 km BaratDaya TERNATE-MALUT,-
